"","customerid","gender","seniorcitizen","partner","dependents","tenure","phoneservice","multiplelines","internetservice","onlinesecurity","onlinebackup","deviceprotection","techsupport","streamingtv","streamingmovies","contract","paperlessbilling","paymentmethod","monthlycharges","totalcharges","churn","status"
"3550","6897-RWMUB","Male",0,"Yes","Yes",61,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","Two year","Yes","Bank transfer (automatic)",68.05,4158.25,"No",0
"3552","7594-RQHXR","Female",0,"No","Yes",1,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",79.6,79.6,"Yes",1
"3553","6999-CHVCF","Male",0,"No","No",68,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","Yes","Two year","Yes","Bank transfer (automatic)",102.1,7149.35,"No",0
"3554","6134-KWTBV","Male",0,"No","No",62,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",23.4,1429.65,"No",0
"3557","0895-LNKRC","Male",0,"Yes","Yes",6,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",19.45,113.5,"No",0
"3559","8417-GSODA","Male",0,"Yes","Yes",28,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","One year","No","Bank transfer (automatic)",92.2,2568.15,"No",0
"3560","5171-EPLKN","Male",0,"No","No",27,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",19.85,470,"No",0
"3562","5998-VVEJY","Male",0,"No","No",26,"Yes","Yes","Fiber optic","No","No","No","Yes","No","No","Month-to-month","Yes","Electronic check",80.5,2088.8,"Yes",1
"3564","6741-EGCBI","Male",1,"No","No",30,"Yes","Yes","Fiber optic","Yes","No","No","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",90.5,2595.85,"No",0
"3566","4317-VTEOA","Male",0,"No","No",1,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",50.75,50.75,"Yes",1
"3568","1670-SVOWZ","Female",0,"Yes","Yes",14,"Yes","No","Fiber optic","No","Yes","No","Yes","No","Yes","Month-to-month","Yes","Credit card (automatic)",89.65,1208.35,"Yes",1
"3572","8980-WQFWL","Female",0,"No","No",35,"Yes","No","DSL","No","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",62.1,2096.1,"No",0
"3573","1730-ZMAME","Female",1,"No","No",32,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",79.5,2665,"No",0
"3576","9501-UKKNL","Male",0,"No","No",59,"No","No phone service","DSL","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",51.7,3005.8,"No",0
"3579","4795-WRNVT","Female",0,"No","No",40,"Yes","No","DSL","Yes","Yes","No","No","Yes","No","Month-to-month","No","Mailed check",65.1,2586,"No",0
"3582","7860-UXCRM","Male",0,"Yes","Yes",63,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","No","Credit card (automatic)",74.5,4674.55,"No",0
"3585","9552-TGUZV","Male",0,"Yes","No",8,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check",75,658.1,"No",0
"3589","9643-YBLUR","Male",0,"Yes","No",9,"Yes","Yes","DSL","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",69.05,653.95,"No",0
"3596","2260-USTRB","Female",1,"No","No",2,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",70.2,115.95,"Yes",1
"3598","7011-CVEUC","Male",0,"Yes","No",25,"Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",95.7,2338.35,"No",0
"3599","6185-TASNN","Male",1,"No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",46.3,46.3,"No",0
"3601","8623-TMRBY","Male",1,"Yes","Yes",51,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","Yes","Electronic check",84.2,4146.05,"Yes",1
"3604","1501-SGHBW","Male",0,"No","No",2,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",45.85,81,"Yes",1
"3605","9313-CDOGY","Male",0,"Yes","Yes",38,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Electronic check",19.6,717.3,"No",0
"3608","9987-LUTYD","Female",0,"No","No",13,"Yes","No","DSL","Yes","No","No","Yes","No","No","One year","No","Mailed check",55.15,742.9,"No",0
"3609","3208-YPIOE","Male",0,"No","No",39,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",75.25,3017.65,"Yes",1
"3612","5693-PIPCS","Male",0,"No","No",41,"Yes","No","Fiber optic","No","Yes","No","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",99.65,4220.35,"No",0
"3613","0491-KAPQG","Male",0,"No","No",21,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",73.7,1558.7,"No",0
"3614","1925-LFCZZ","Male",1,"No","No",55,"No","No phone service","DSL","No","No","Yes","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",50.05,2743.45,"No",0
"3615","8039-EQPIM","Male",0,"Yes","No",69,"No","No phone service","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",60.25,4055.5,"No",0
"3617","8707-RMEZH","Female",1,"Yes","No",69,"Yes","No","Fiber optic","Yes","Yes","No","No","No","Yes","One year","No","Credit card (automatic)",87.3,6055.55,"No",0
"3619","3209-ZPKFI","Male",0,"Yes","Yes",47,"Yes","Yes","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",54.25,2538.2,"No",0
"3621","9373-WSLOY","Male",1,"Yes","No",33,"No","No phone service","DSL","No","Yes","Yes","Yes","Yes","No","Month-to-month","Yes","Electronic check",50,1750.85,"No",0
"3622","2933-FILNV","Female",0,"Yes","Yes",2,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",24.4,36.55,"Yes",1
"3624","9819-FBNSV","Male",1,"Yes","No",37,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",72.25,2575.45,"No",0
"3628","3243-ZHOHY","Female",0,"No","No",16,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",20.1,296.15,"No",0
"3629","5186-EJEGL","Male",0,"No","No",9,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","No","Month-to-month","Yes","Mailed check",69.5,653.25,"No",0
"3630","7527-QNRUS","Male",0,"Yes","Yes",17,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Mailed check",25.15,412.6,"No",0
"3633","2203-GHNWN","Female",0,"Yes","No",24,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Mailed check",79.65,1928.7,"No",0
"3634","3878-AVSOQ","Female",1,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",71.25,71.25,"No",0
"3635","3258-SYSWS","Male",1,"No","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",113.8,7845.8,"No",0
"3636","5296-PSYVW","Female",0,"Yes","No",72,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Electronic check",24.55,1750.7,"No",0
"3638","4083-EUGRJ","Male",0,"No","No",9,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.25,178.5,"Yes",1
"3639","7579-OOPEC","Female",1,"Yes","No",2,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Credit card (automatic)",50.15,115.1,"Yes",1
"3640","0512-FLFDW","Female",1,"Yes","No",60,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",100.5,6029,"No",0
"3641","1771-OADNZ","Male",1,"Yes","No",29,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",95.9,2745.2,"Yes",1
"3642","0487-CRLZF","Female",0,"No","No",49,"Yes","No","DSL","No","No","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",74.45,3721.9,"No",0
"3643","2107-FBPTK","Female",1,"No","No",30,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",104.1,3121.1,"No",0
"3645","8219-VYBVI","Male",0,"No","Yes",39,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",25,1004.35,"No",0
"3647","9738-QLWTP","Male",0,"No","No",39,"Yes","No","Fiber optic","No","No","Yes","Yes","No","No","One year","No","Electronic check",81.9,3219.75,"No",0
"3651","5699-BNCAS","Male",1,"No","No",71,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Mailed check",24.65,1766.75,"No",0
"3652","2900-PHPLN","Female",1,"Yes","No",70,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Credit card (automatic)",19.55,1462.05,"No",0
"3653","0612-RTZZA","Female",1,"No","No",1,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",25.25,25.25,"Yes",1
"3654","8106-GWQOK","Male",0,"Yes","No",38,"No","No phone service","DSL","Yes","Yes","No","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",60,2193.2,"No",0
"3655","8751-EDEKA","Female",0,"Yes","No",28,"Yes","No","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","No","Credit card (automatic)",89.9,2433.5,"No",0
"3658","8450-LUGUK","Female",0,"Yes","Yes",37,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)",24.1,861.85,"No",0
"3661","2259-OUUSZ","Male",0,"No","No",7,"No","No phone service","DSL","No","No","Yes","Yes","No","No","One year","Yes","Credit card (automatic)",35.5,249.55,"No",0
"3662","1142-IHLOO","Female",0,"No","No",51,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","One year","No","Credit card (automatic)",87.55,4475.9,"No",0
"3663","6410-LEFEN","Female",0,"No","No",9,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",45.15,416.45,"Yes",1
"3664","4633-MKHYU","Female",0,"No","No",9,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Mailed check",88.4,788.6,"No",0
"3666","1545-JFUML","Male",0,"Yes","No",71,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","No","Two year","Yes","Electronic check",99,6994.6,"No",0
"3667","3194-ORPIK","Female",0,"Yes","Yes",50,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",84.4,4116.15,"Yes",1
"3669","1353-GHZOS","Male",0,"Yes","No",22,"Yes","No","DSL","Yes","No","No","No","Yes","No","One year","Yes","Bank transfer (automatic)",59.75,1374.35,"No",0
"3670","2587-EKXTS","Male",0,"No","No",44,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",111.5,4915.15,"No",0
"3671","5442-BXVND","Female",0,"Yes","Yes",33,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Bank transfer (automatic)",24.25,838.5,"No",0
"3673","9378-FXTIZ","Female",0,"Yes","No",54,"Yes","Yes","DSL","No","No","No","No","Yes","Yes","One year","Yes","Credit card (automatic)",70.15,3715.65,"Yes",1
"3674","1723-HKXJQ","Male",0,"No","No",42,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",101.75,4273.45,"Yes",1
"3679","6473-ULUHT","Male",0,"Yes","Yes",16,"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","Month-to-month","No","Electronic check",84.9,1398.25,"No",0
"3682","4433-JCGCG","Male",1,"Yes","No",46,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",101,4680.05,"Yes",1
"3685","2842-BCQGE","Male",0,"No","No",43,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",75.35,3161.4,"No",0
"3688","6849-OYAMU","Male",0,"Yes","Yes",19,"Yes","No","Fiber optic","No","Yes","No","Yes","Yes","Yes","One year","No","Bank transfer (automatic)",100,1888.65,"Yes",1
"3691","6038-GCYEC","Female",0,"No","No",24,"No","No phone service","DSL","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",54.15,1240.25,"Yes",1
"3693","7159-FVYPK","Female",0,"Yes","Yes",3,"Yes","Yes","DSL","No","Yes","Yes","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",69.15,235,"No",0
"3698","4821-SJHJV","Female",0,"Yes","Yes",32,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","No","Month-to-month","No","Electronic check",89.6,2901.8,"No",0
"3699","7346-MEDWM","Female",0,"No","No",59,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","Yes","Electronic check",83.25,4949.1,"No",0
"3700","1137-DGOWI","Female",0,"Yes","No",30,"Yes","No","DSL","No","Yes","Yes","Yes","No","Yes","One year","No","Bank transfer (automatic)",70.25,2198.9,"No",0
"3701","5616-PRTNT","Male",0,"No","Yes",20,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Electronic check",19.4,374.5,"Yes",1
"3702","3812-LRZIR","Female",0,"Yes","Yes",27,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Electronic check",24.5,761.95,"No",0
"3707","4993-JCRGJ","Male",0,"No","No",26,"Yes","Yes","Fiber optic","No","No","Yes","Yes","No","No","Month-to-month","Yes","Mailed check",84.3,2281.6,"No",0
"3708","9537-JALFH","Male",0,"Yes","Yes",69,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",19.9,1356.7,"No",0
"3709","6698-OXETB","Male",0,"No","No",11,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",20.4,231.45,"No",0
"3713","9209-NWPGU","Male",0,"No","No",44,"Yes","No","DSL","Yes","No","No","Yes","Yes","No","One year","No","Electronic check",65.4,2774.55,"No",0
"3714","6961-VCPMC","Male",1,"Yes","No",46,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",80.4,3605.2,"Yes",1
"3715","7306-YDSOI","Male",0,"Yes","Yes",69,"Yes","No","DSL","Yes","Yes","Yes","No","No","No","Two year","Yes","Bank transfer (automatic)",59.75,4069.9,"No",0
"3716","5288-AHOUP","Male",1,"No","No",11,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",78.5,874.2,"No",0
"3722","2839-RFSQE","Female",0,"No","No",2,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.65,38.7,"Yes",1
"3727","1965-DDBWU","Male",0,"No","No",16,"Yes","Yes","Fiber optic","No","No","No","Yes","No","Yes","Month-to-month","Yes","Credit card (automatic)",89.05,1448.6,"Yes",1
"3728","9057-SIHCH","Female",0,"No","No",3,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",96.6,291.9,"Yes",1
"3729","6352-GIGGQ","Male",0,"No","No",67,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)",88.8,5903.15,"No",0
"3730","3635-QQRQD","Male",0,"No","No",62,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Credit card (automatic)",20.05,1201.65,"No",0
"3735","7134-HBPBS","Female",1,"No","No",72,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",108.1,7774.05,"No",0
"3736","3489-HHPFY","Female",0,"Yes","No",2,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",84.05,134.05,"No",0
"3737","2926-JEJJC","Female",0,"No","No",8,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Bank transfer (automatic)",20.2,140.95,"No",0
"3738","8601-QACRS","Female",0,"No","No",5,"Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",50.6,249.95,"Yes",1
"3740","5789-LDFXO","Male",0,"No","No",24,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Electronic check",24.6,592.65,"No",0
"3741","0508-OOLTO","Female",0,"Yes","Yes",2,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",71.65,135.75,"No",0
"3742","2984-TBYKU","Male",0,"Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","Yes","Two year","Yes","Credit card (automatic)",104.9,7732.65,"No",0
"3746","2645-QTLMB","Male",0,"No","No",7,"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",94.25,669,"Yes",1
"3747","4806-HIPDW","Female",0,"Yes","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",68.95,68.95,"Yes",1
"3748","1548-ARAGG","Female",0,"Yes","Yes",4,"Yes","Yes","DSL","No","Yes","No","Yes","No","No","Month-to-month","Yes","Mailed check",58.5,224.85,"No",0
"3749","6339-RZCBJ","Male",0,"No","No",48,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",78.9,3771.5,"No",0
"3750","4424-TKOPW","Male",1,"No","No",2,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",93.85,196.75,"Yes",1
"3751","4415-WNGVR","Female",1,"Yes","No",12,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",79.2,943.85,"No",0
"3752","2522-AHJXR","Male",0,"Yes","No",60,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",109.45,6572.85,"No",0
"3757","9136-ALYBR","Male",0,"No","No",1,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",24.45,24.45,"Yes",1
"3758","4615-PIVVU","Female",0,"No","No",42,"Yes","No","DSL","No","No","Yes","Yes","No","Yes","Two year","No","Credit card (automatic)",66.5,2762.75,"No",0
"3760","7479-NITWS","Male",0,"No","No",7,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",89.35,631.85,"Yes",1
"3761","8617-ENBDS","Male",0,"No","No",3,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",73.6,232.5,"No",0
"3763","0430-IHCDJ","Male",0,"No","No",15,"Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",49,749.25,"No",0
"3764","2959-MJHIC","Male",0,"Yes","No",4,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",80.35,307.4,"Yes",1
"3766","1814-DKOLC","Female",0,"No","No",5,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",25.45,134.75,"No",0
"3771","5821-MMEIL","Female",0,"Yes","No",57,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",19.9,1115.6,"No",0
"3774","8260-NGFNY","Female",0,"No","No",1,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",25.2,25.2,"Yes",1
"3775","1309-XGFSN","Male",1,"Yes","Yes",52,"Yes","Yes","DSL","No","Yes","Yes","No","Yes","Yes","One year","Yes","Electronic check",80.85,4079.55,"No",0
"3777","6968-URWQU","Male",0,"Yes","No",43,"Yes","No","DSL","No","No","No","No","Yes","No","One year","Yes","Mailed check",56.35,2391.15,"No",0
"3779","9631-XEYKE","Male",0,"No","No",3,"Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",50.4,137.25,"No",0
"3780","8631-NBHFZ","Male",1,"Yes","Yes",66,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","No","Credit card (automatic)",79.4,5154.6,"Yes",1
"3781","1335-MXCSE","Male",0,"Yes","Yes",55,"Yes","No","DSL","No","No","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)",55.25,3119.9,"No",0
"3782","8873-TMKGR","Male",0,"No","No",29,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",19.1,529.5,"No",0
"3785","4958-XCBDQ","Male",1,"No","No",35,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",101.4,3496.3,"Yes",1
"3792","3453-RTHJQ","Male",0,"No","No",6,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.1,435,"No",0
"3793","6712-OAWRH","Female",1,"No","No",26,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",91.25,2351.8,"Yes",1
"3795","4280-DLSHD","Male",0,"Yes","No",8,"Yes","No","DSL","No","Yes","Yes","No","No","No","Month-to-month","Yes","Mailed check",54.75,445.85,"No",0
"3798","7868-BGSZA","Male",0,"Yes","No",43,"Yes","Yes","DSL","Yes","No","Yes","No","Yes","Yes","One year","Yes","Electronic check",80.2,3581.6,"No",0
"3801","7973-DZRKH","Female",0,"No","Yes",66,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)",90.95,5930.05,"No",0
"3802","5914-DVBWJ","Female",1,"No","No",18,"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No","Month-to-month","Yes","Electronic check",85.45,1505.85,"Yes",1
"3804","2533-QVMSK","Male",0,"Yes","No",61,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","No","Two year","Yes","Electronic check",94.1,5638.3,"Yes",1
"3805","9773-PEQBZ","Male",0,"No","No",10,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",79.85,797.25,"No",0
"3810","9602-WCXPI","Male",0,"No","No",50,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Credit card (automatic)",20.15,989.05,"No",0
"3813","8573-JGCZW","Male",0,"No","No",17,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Bank transfer (automatic)",19.65,351.55,"No",0
"3814","6837-HAEVO","Male",0,"Yes","Yes",69,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Electronic check",105,7297.75,"No",0
"3815","6701-YVNQG","Male",0,"Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",88.7,6301.7,"No",0
"3816","9306-CPCBC","Female",0,"No","No",3,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.25,210.3,"Yes",1
"3817","4304-XUMGI","Male",1,"Yes","Yes",50,"Yes","Yes","DSL","Yes","Yes","Yes","No","No","Yes","Two year","Yes","Bank transfer (automatic)",75.15,3822.45,"No",0
"3822","1833-VGRUM","Female",1,"No","No",1,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.2,74.2,"Yes",1
"3824","9065-ZCPQX","Male",0,"Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","Yes","Two year","No","Bank transfer (automatic)",78.85,5763.15,"No",0
"3826","3620-EHIMZ","Female",0,"Yes","Yes",52,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",19.35,1031.7,"No",0
"3832","6946-LMSQS","Male",1,"Yes","No",25,"Yes","Yes","Fiber optic","Yes","No","No","No","No","Yes","One year","Yes","Electronic check",89.05,2177.45,"Yes",1
"3834","9169-BSVIN","Male",0,"No","No",12,"Yes","Yes","DSL","No","No","Yes","No","Yes","Yes","Month-to-month","No","Bank transfer (automatic)",74.75,827.05,"No",0
"3837","6872-HXFNF","Female",0,"Yes","No",64,"Yes","Yes","DSL","No","No","Yes","Yes","No","No","One year","No","Bank transfer (automatic)",58.35,3756.45,"No",0
"3839","7714-YXSMB","Female",0,"No","No",26,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",100.5,2599.95,"No",0
"3840","8387-UGUSU","Female",0,"Yes","Yes",15,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.05,284.3,"No",0
"3841","1080-BWSYE","Male",1,"Yes","No",64,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",25.65,1740.8,"No",0
"3842","4039-HEUNW","Male",1,"Yes","No",36,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",96.5,3436.1,"Yes",1
"3844","0812-WUPTB","Male",1,"Yes","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Mailed check",70.85,70.85,"Yes",1
"3846","0004-TLHLJ","Male",0,"No","No",4,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Electronic check",73.9,280.85,"Yes",1
"3847","1767-TGTKO","Female",0,"Yes","Yes",8,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",45.45,411.75,"No",0
"3848","8439-LTUGF","Male",0,"No","No",10,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Credit card (automatic)",20,198.6,"No",0
"3849","8805-JNRAZ","Female",0,"No","No",2,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Mailed check",49.2,103.7,"No",0
"3851","6418-HNFED","Male",0,"Yes","No",51,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",83.25,4089.45,"No",0
"3852","0206-OYVOC","Female",0,"Yes","Yes",46,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Mailed check",19.25,864.2,"No",0
"3853","7291-CDTMJ","Male",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Bank transfer (automatic)",19.65,19.65,"No",0
"3854","7128-GGCNO","Male",0,"No","No",46,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",72.8,3249.4,"No",0
"3857","6710-HSJRD","Male",0,"Yes","No",61,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",114.1,7132.15,"No",0
